year;country;article_total;article_10;article_1;subsidy_com_ratio;subsidy_pub_ratio;subsidy_univ_ratio;rd_amount_com;rd_amount_pub;rd_amount_univ;medi_exp;medhi_imp;elec_exp;elec_imp;aero_exp;aero_imp;hitechall_exp;hitechall_imp;patent_in;patent_out;doctor per mill;GDP_10okuen
1981;US;139757;22319;2428;43.12 ;38.69 ;15.10 ;11538803;2974345;1621268;;;;;;;;;;;;733861
1982;US;148099;23368;2604;44.69 ;37.94 ;14.41 ;12535168;3084126;1667160;;;;;;;;;;;;733217
1983;US;154786;24482;2729;44.86 ;38.28 ;13.79 ;13564940;3374035;1757523;;;;;;;;;;;;774068
1984;US;159211;25154;2814;45.29 ;37.95 ;13.53 ;15241931;3654592;1909701;;;;;;;;;;;;842321
1985;US;161504;25445;2892;46.89 ;36.60 ;13.37 ;16868328;3937158;2110793;;;;;;;;;;;;888507
1986;US;162400;25907;2964;46.51 ;36.17 ;14.30 ;17527210;4060760;2353768;;;;;;;;;;;;934083
1987;US;165352;26703;3029;47.94 ;34.49 ;14.73 ;17917532;4050125;2545140;;;;;;;;;;;;964876
1988;US;170074;27395;3134;45.80 ;35.50 ;15.83 ;18329481;4163552;2746921;;;;;;;;;;;;1011460
1989;US;176279;28267;3209;42.46 ;37.16 ;17.06 ;18952677;4313603;2967216;;;;;;;;;;;;1070733
1990;US;182022;29344;3343;40.69 ;37.73 ;17.88 ;20160860;4415702;3179628;;;;;;;;;;;;1119337
1991;US;190582;30155;3360;38.38 ;38.00 ;19.35 ;21431193;4362488;3402453;;;;;;;;;;;;1150865
1992;US;191942;29998;3415;35.55 ;39.25 ;20.74 ;21689668;4497805;3601662;;;;;;;;;;;;1211260
1993;US;194343;29748;3417;33.35 ;39.93 ;22.17 ;21066833;4477443;3740328;;;;;;;;;;;;1251691
1994;US;197860;30513;3516;32.26 ;39.84 ;23.26 ;21031761;4409088;3871075;;;;;;;;;;;;1305563
1995;US;203390;31388;3722;32.49 ;39.61 ;23.53 ;22660889;4425008;3947634;6363;5581;122118;160234;31588;10907;160070;176722;123962;61892;;1333454
1996;US;223067;34882;4167;32.50 ;38.82 ;24.26 ;24281846;4272190;4045183;7173;7127;131613;162400;39146;13097;177931;182623;106892;71027;;1376894
1997;US;223494;34512;4110;32.51 ;38.48 ;24.52 ;26187495;4251767;4149820;8070;8791;149391;176742;48676;17278;206137;202811;119214;86992;;1445385
1998;US;229332;35303;4236;32.09 ;38.24 ;24.90 ;27831885;4304313;4261009;9474;10936;144237;183410;62677;22193;216389;216539;134733;103786;;1509466
1999;US;229600;35322;4297;29.43 ;38.82 ;26.35 ;29505088;4350011;4451932;11133;13583;158417;207003;60914;24098;230464;244685;149251;108625;;1560518
2000;US;234357;35878;4214;24.21 ;41.12 ;28.23 ;30937536;4411934;4628539;12894;14785;193400;253528;52650;26883;258944;295196;164795;115591;141;1586214
2001;US;233319;35713;4270;21.70 ;42.76 ;28.46 ;30246970;4912773;4903490;15117;18644;162481;208023;57463;31450;235060;258117;177513;116362;137;1584359
2002;US;237600;36254;4371;19.66 ;43.09 ;30.28 ;27873217;5101396;5274213;15826;25148;143531;208723;55300;26572;214657;260443;184245;107679;141;1572372
2003;US;248334;37872;4525;19.70 ;41.98 ;31.63 ;28004228;5194882;5661144;18889;32145;148518;214963;50725;24308;218132;271417;188941;112927;148;1598603
2004;US;258818;39477;4812;21.01 ;40.04 ;32.01 ;27987961;5063472;5817383;23638;35693;162987;250684;55261;24527;241887;310905;189536;141439;161;1641070
2005;US;268704;40517;4812;21.68 ;39.96 ;31.75 ;29299341;5126112;5893318;25572;39594;169116;272966;64500;26112;259189;338672;207867;175491;170;1688917
2006;US;277240;41755;5057;23.04 ;40.05 ;31.07 ;30843912;5220459;5899185;28701;46450;185048;297737;82388;28783;296137;372969;221784;182575;183;1720426
2007;US;282124;42979;5144;23.97 ;40.30 ;30.29 ;32418186;5359950;5951085;32877;53743;183537;302586;94357;34762;310771;391091;241347;196018;192;1739925
2008;US;291481;44670;5525;29.38 ;37.35 ;28.19 ;33964741;5391266;6082292;37503;59602;186396;301427;92821;35299;316720;396329;231588;197298;205;1719129
2009;US;296177;46013;5653;29.96 ;36.50 ;28.06 ;32517573;5547700;6322775;43427;59796;155770;267903;84334;30338;283532;358037;224912;173085;208;1663792
2010;US;304421;47465;5858;25.69 ;38.67 ;30.17 ;31152409;5749601;6485930;43619;65122;183628;324027;80672;31221;307919;420371;241977;191320;219;1674117
2011;US;317960;49398;6176;23.54 ;40.63 ;30.83 ;31601444;5825956;6456713;42042;69366;193549;340478;88919;35144;324510;444987;247750;192987;228;1670119
2012;US;329829;51537;6405;23.91 ;41.16 ;29.93 ;31516912;5506604;6349868;43536;68809;195211;352420;105944;40357;344691;461586;268782;204693;236;1688926
2013;US;342989;52954;6644;23.60 ;41.55 ;29.93 ;32672948;5237956;6234876;43157;66685;196097;355235;116389;46524;355643;468443;287831;213313;247;1700355
2014;US;348208;53549;6771;21.59 ;43.48 ;29.80 ;35112728;5489584;6425194;47540;76106;200335;367857;127258;52913;375133;496876;285096;224420;253;1805648
2015;US;354985;54282;6834;21.66 ;43.39 ;29.81 ;36809589;5528561;6685232;51330;89275;194899;376608;133785;54701;380013;520584;288335;242323;259;1884782
2016;US;366786;54941;6905;19.64 ;42.78 ;31.65 ;39530241;5465984;7153076;50164;95420;191558;372218;136870;49877;378592;517515;295327;226738;268;1973658
2017;US;375282;55340;7128;19.27 ;42.47 ;31.65 ;42162228;5605529;7508356;48159;99718;199285;401951;133243;51575;380687;553243;293904;231563;268;2053351
2018;US;383506;54570;6794;17.62 ;44.86 ;30.97 ;44152732;6159540;7816667;51453;119353;205545;417802;141854;56465;398853;593620;285095;230085;268;2144567
1995;KR;5188;325;17;13.75 ;66.52 ;18.84 ;1698561;390687;188129;239;650;35876;22371;365;2674;36480;25695;59228;7152;;107384
1996;KR;7123;484;25;15.77 ;63.09 ;20.34 ;1854819;410849;237295;260;756;29696;22884;373;3081;30329;26721;68405;11410;;114966
1997;KR;8707;574;25;15.16 ;61.92 ;21.89 ;1989692;432448;286038;269;717;37283;26820;863;2011;38416;29548;67359;13492;;122388
1998;KR;10492;663;40;15.87 ;62.60 ;19.92 ;1713351;425372;271889;284;559;35457;20442;1140;1143;36882;22143;50596;12709;;115639
1999;KR;12207;864;51;16.73 ;53.03 ;27.18 ;1826897;369815;307251;289;724;47554;29874;530;995;48373;31592;55970;11038;;127031
2000;KR;13619;1061;66;21.65 ;50.15 ;25.80 ;2123263;381781;323389;325;819;61900;41197;770;1142;62995;43158;72831;12952;131;134923
2001;KR;15851;1200;82;24.60 ;45.16 ;28.55 ;2424707;393385;331256;311;990;46875;32051;622;949;47808;33990;73714;14691;131;139676
2002;KR;17358;1286;98;18.87 ;50.00 ;28.25 ;2423473;433844;335653;344;1172;55449;34289;440;1303;56234;36765;76570;17678;142;146570
2003;KR;20429;1511;115;16.97 ;49.78 ;30.33 ;2555725;422920;340418;372;1346;67970;40055;544;945;68886;42346;90313;22441;151;147493
2004;KR;24001;1660;154;15.71 ;50.08 ;31.30 ;2878952;452630;377593;447;1688;89534;46493;490;1285;90472;49466;105250;31188;167;153665
2005;KR;26062;1857;168;15.49 ;48.92 ;32.14 ;3048514;470475;393832;497;1946;95946;51043;616;1821;97059;54810;122188;40506;179;157227
2006;KR;28340;1939;143;15.89 ;47.55 ;33.27 ;3406362;509682;438860;595;2529;103288;54953;868;2885;104750;60367;125476;47825;184;162137
2007;KR;28963;2109;183;19.14 ;44.62 ;32.70 ;3730346;570290;521159;802;3116;117348;57304;908;3029;119058;63450;128701;47635;187;170326
2008;KR;33517;2411;203;17.49 ;45.26 ;34.09 ;3866527;618574;571761;995;3402;116585;60707;890;2455;118470;66564;127114;46382;191;171646
2009;KR;36761;2707;235;18.50 ;45.49 ;32.15 ;3933091;689514;587084;1154;3435;105991;50527;982;1853;108126;55815;127316;42917;201;168315
2010;KR;40277;2976;261;18.81 ;45.31 ;32.27 ;4356129;738088;630176;1200;3898;134321;63449;1603;3652;137124;70999;131805;46849;213;175637
2011;KR;44295;3489;366;18.61 ;45.06 ;32.47 ;4801108;735746;632944;1288;4266;132837;69031;1267;4436;135392;77733;138034;49717;233;174643
2012;KR;48309;3850;397;19.57 ;44.70 ;32.46 ;5272071;761140;643648;1479;4568;127595;66436;1542;3595;130616;74598;148136;55699;244;175656
2013;KR;50525;4110;459;19.06 ;45.73 ;31.62 ;5427160;754383;638802;1531;4595;139468;68501;2231;3546;143230;76642;159978;63549;250;174940
2014;KR;53133;4323;477;17.50 ;46.36 ;31.61 ;5892574;844677;681629;1765;5206;145827;75324;2117;3724;149709;84255;164073;66480;255;184731
2015;KR;56103;4623;494;16.81 ;47.74 ;30.44 ;6170103;934547;723822;2271;5133;143694;79715;2118;4581;148082;89430;167275;70910;256;200056
